"Benchmarks","# of Traces","Time (sec)","Traces/sec","Sim Time (ns)","Sim Time ns/trace"
164gzip,1470752,302,4870,4787153
168wupwise,1499984,301,4983,4281668
171swim,1499540,298,5032,5138916
172mgrid,1499954,302,4966,4750624
173applu,1498410,310,4833,4238846
175vpr,1492902,306,4878,5372354
176gcc02,1498550,325,4610,4466303
177mesa,1499470,315,4760,4349197
178galgel,1499330,329,4557,4624686
179art02,1499192,314,4774,5304377
181mcf,1498580,349,4293,4778096
183equake,1496138,297,5037,4350605
186crafty,1499884,343,4372,4309995
187facerec,1496794,303,4939,5394381
188ammp,1499314,316,4744,5785696
189lucas,1499542,306,4900,4585635
191fma3d,969757,205,4730,2913593
197parser,1499324,325,4613,4621863
200sixtrack,306962,66,4650,885139
252eon,1499882,315,4761,4570944
254gap,1477864,320,4618,4071816
255vortex,1499966,306,4901,4156720
256bzip2,1492596,300,4975,5443593
300twolf,-1500000,1,-1500000,0
301apsi,1482770,301,4926,4947093
